shop_id,shop_name,shop_url,item_count,avg_review,total_reviews,min_price,genre_id
f272281-sennan,大阪府泉南市,https://www.rakuten.co.jp/f272281-sennan/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,3,4.54,125,4500,506539
f222097-shimada,静岡県島田市,https://www.rakuten.co.jp/f222097-shimada/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,3,4.33,10,22000,408254
f231002-nagoya,愛知県名古屋市,https://www.rakuten.co.jp/f231002-nagoya/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,3,4.72,403,9000,408254
f282260-awaji,兵庫県淡路市,https://www.rakuten.co.jp/f282260-awaji/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,2,4.74,562,12000,506539
f402052-iizuka,福岡県飯塚市,https://www.rakuten.co.jp/f402052-iizuka/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,2,4.79,764,12000,506539
f152137-tsubame,新潟県燕市,https://www.rakuten.co.jp/f152137-tsubame/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.62,50,120000,208440
dripcoffee,DRIP COFFEE FACTORY,https://www.rakuten.co.jp/dripcoffee/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.53,5775,2980,201402
f401005-kitakyushu,福岡県北九州市,https://www.rakuten.co.jp/f401005-kitakyushu/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.76,159,13000,506539
f192023-fujiyoshida,山梨県富士吉田市,https://www.rakuten.co.jp/f192023-fujiyoshida/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.88,308,5000,506539
sawaicoffee-tea,澤井珈琲Beans&Leaf,https://www.rakuten.co.jp/sawaicoffee-tea/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.73,407,4444,506539
soukaidrink,楽天24 ドリンク館,https://www.rakuten.co.jp/soukaidrink/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.68,154,3624,506539
f332097-takahashi,岡山県高梁市,https://www.rakuten.co.jp/f332097-takahashi/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.74,546,12000,201402
f272132-izumisano,大阪府泉佐野市,https://www.rakuten.co.jp/f272132-izumisano/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.73,240,15000,506539
f192091-hokuto,山梨県北杜市,https://www.rakuten.co.jp/f192091-hokuto/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.9,41,15000,408254
f112011-kawagoe,埼玉県川越市,https://www.rakuten.co.jp/f112011-kawagoe/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.45,11,10000,303017
michinoku-rt,バレビレ2号店,https://www.rakuten.co.jp/michinoku-rt/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.73,30,4960,408254
sawasei,Gift HARE [ギフトハレ],https://www.rakuten.co.jp/sawasei/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.33,6,3228,303017
tanoshimidori,タノシミドリ,https://www.rakuten.co.jp/tanoshimidori/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.82,336,1584,202513
good-luckbin,Good Luck便 楽天市場店,https://www.rakuten.co.jp/good-luckbin/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.67,100,5280,408254
f261009-kyoto,京都府京都市,https://www.rakuten.co.jp/f261009-kyoto/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.86,79,10000,408254
f262129-kyotango,京都府京丹後市,https://www.rakuten.co.jp/f262129-kyotango/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.72,69,8000,201402
gourmetcoffee,グルメコーヒー豆専門!加藤珈琲店,https://www.rakuten.co.jp/gourmetcoffee/?rafcid=wsc_i_is_e41a88d9-68dc-4bd8-899b-578bb6738e9a,1,4.6,42996,5398,201402
